Province;Municipality;Barangay;storm_surge min;storm_surge max;average storm surge;Rainfall;Rainintensity;2010 mangrove cove;Population;Households;Land area (has);Urbanization (0 rural 1 urban);Income (IRA, 2013);Dead;Partially Damaged Houses;Totally Damaged Houses;Structures (o absent 1 present);Average Elevation;Avg nearest Distance of Mangrove to the Village center (meters)
Samar;Tarangnan;Lahong;0,1;0,2;0,1;0,548387;7,322222;89,5006;227;122;144,8153;0;696.025;0;0;0;0;93,226149;0
Samar;Tarangnan;Palencia;0,2;0,5;0,3;1,237826;7,322222;79,6146;581;166;717,9682;0;825.451;0;0;0;0;91,794537;0,001175
Samar;Tarangnan;Tizon;0,2;0,5;0,3;1,237826;7,322222;4,385232;410;82;541,131;0;762.931;0;0;0;0;97,261034;0,004879
Samar;Villareal;Bino-Ongan;0,1;0,2;0,1;1,4;7,322222;1,112279;280;63;67,08;0;715402;0;12;20;0;91,761448;0,003021
Samar;Villareal;Igot;0,2;0,5;0,3;1,4;7,322222;7,582967;1260;264;539,87;0;1073701;0;33;190;0;103,018695;0,005201
Samar;Villareal;Inarumbacan;0,1;0,2;0,1;0,227;7,322222;34,6627;516;109;150,14;0;801686;0;15;40;1;89,627168;0,000049
Samar;Villareal;Lawa-An;0,1;0,2;0,1;0,227;7,322222;28,4779;292;58;212,15;0;719789;0;8;49;0;85,140509;0,003948
Samar;Villareal;Plaridel;0,1;0,2;0,1;1,4;7,322222;42,2744;603;139;302,97;0;833494;0;29;100;1;88,705303;0,00376
Samar;Villareal;San Rafael;0,2;0,5;0,3;1,4;7,322222;89,473;649;139;257,95;0;850312;0;13;126;0;81,434845;0,002657
Samar;Villareal;Santo Niño;0,2;0,5;0,3;1,4;7,322222;11,234;736;156;166,26;0;882121;0;12;144;0;101,767442;0,004399
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
